ADJACÊNCIA	PESO
24 -> 1 		 64
17 -> 2 		 77
4 -> 3 		 61
13 -> 4 		 1
7 -> 5 		 93
17 -> 6 		 28
17 -> 7 		 68
15 -> 8 		 75
16 -> 9 		 80
14 -> 10 		 79
22 -> 11 		 96
21 -> 12 		 98
12 -> 13 		 41
25 -> 14 		 84
5 -> 15 		 75
8 -> 16 		 92
0 -> 17 		 14
15 -> 18 		 29
14 -> 19 		 56
3 -> 20 		 58
0 -> 21 		 65
10 -> 22 		 74
9 -> 23 		 90
7 -> 24 		 73
26 -> 25 		 17
8 -> 26 		 41
3 -> 27 		 49
3 -> 28 		 91
10 -> 29 		 47
